prompt,adults_only
Things you shouldn't do in the house.,
Things that are wild.,
Things that require an assistant.,
Things you would liek to say to the President.,
Things you would like to say to {name}.,
Things you shouldn't encourage your kids to do.,
Things you wish you could do with your feet.,
Things you never see on television.,
Things you wish worked by remote control.,
Things you shouldn't exaggerate.,
Things a waiter shouldn't do.,
Things you shouldn't collect.,
Things that confirm you still haven't grown up.,
Things you shouldn't touch.,
Things you shouldn't attempt at your age.,
Things that confirm your small town is backward.,TRUE
Things that would make school more exciting.,
Things you shouldn't send in the mail,
Things that usually make you feel better.,
Things {name} would like to do on vacation.,
Things you would have said to Eve had she tricked you into eating the apple,
Things that cause an accident.,
Things that you shouldn't say to get out of a speeding ticket.,TRUE
Things you shouldn't say about your children,TRUE
Things that you shouldn't hold while riding a bike.,
Things you wish you could predict.,
Things that hurt.,
Things that you shouldn't give away.,
Things you hate as punishment.,
Things you shouldn't advertise on a billboard.,
Things you shouldn't say to your boss.,TRUE
Things you shouldn't let an amateur do.,
Things you wish you could erase.,
Things you say to a telemarketer.,TRUE
Things you wouldn't want to find in your sandwich,
Things you shouldn't do at a funeral.,
Things that exhaust you.,
Things you shouldn't do in the bathtub.,TRUE
Things you shouldn't write on a Valentine's card.,
Things you shouldn't say to your grandmother.,
Things that make you jump.,
Things you won't find in a dictionary.,
Things you shouldn't say to a flight attendant.,
Things you shouldn't put on the front lawn.,
Things that you shouldn't do in your backyard.,
Things you wish people would stop talking about.,
Things that would make your love life more exciting.,TRUE
Things you've paid too much for.,
Things you shouldn't laugh at.,
Things you should keep to yourself.,
Things you wouldn't want your mother to talk about with your girlfriend/boyfriend.,
Things you shouldn't do on your desk.,
Things you would like to do in a blackout.,
Things that make you cry.,
Things that are naughty.,TRUE
Things the make you go ooooh.,
Things that really need a referee.,
Things you shouldn't put on the kitchen table.,
Things you would do if you could change genders for a day.,TRUE
Things that would be considered a bad habit.,
Things you would rather be doing right now.,
Things you shouldn't bite.,
Things astronauts complain about in space.,
Things you shouldn't do with your tongue.,TRUE
Things your wouldn't want to know about your grandmother.,
Things that make you gag.,
Things about men that frustrate you.,
Things an ideal mate would do for you.,
Things you shouldn't forget.,
Things a doctor shouldn't do while performing surgery.,
Things you shouldn't say to the First Lady.,
Things you hate about the hospital.,
Things that should have an expiration date.,
Things you shouldn't do at the beach.,
Things people like about you.,
Things you shouldn't say to your doctor.,
Things that don't last very long.,
Things you didn't realize until it was too late.,
Things that cofirm you have had too much to drink.,TRUE
Things you would like to see in your horoscope.,
Things you shouldn't lend.,
Things that take courage.,
Things you shouldn't say to your teacher.,
Things you shouldn't do right after you eat.,
Things you shouldn't do on your first day on the job.,
Things you shouldn't do at the circus.,
Things you shouldn't capture on videotape.,TRUE
Things women like to talk about when they go to the restroom together.,TRUE
Things that should come with a manual., TRUE
Things you shouldn't do on a first date.,
Things that hang.,
Things that confirm you have been abducted by aliens.,
Things a farmer thinks about with a farmer milks it.,
Things that prove you're in a bad restaurant.,
Things you shouldn't say in group therapy.,
Things that could get you arrested,TRUE
Things you want to do before you die.,
Things you know nothing about.,
Things you dream about.,
Things that confirm your car is a lemon.,
Things that could result in war.,
Things cats think about humans.,
Things you would do if you were a dictator.,TRUE
Things you would like to change.,
Things you shouldn't pick up.,
Things you shouldn't doodle on.,
Things you wish you could do in your sleep.,
Things you might complain about in Hell.,TRUE
Things you shouldn't celebrate.,
Things you hope you can still do when you're 85.,
Things you shouldn't do when you're naked,TRUE
Things that are none of your business.,
Things that could spoil your appetite.,
Things you don't like about family gatherings.,
Things that could use a good cleaning.,TRUE
Things that are funny.,
Things you shouldn't do on your honeymoon.,TRUE
Things you shouldn't do on an airplane.,
Things that must be magic.,
Things you hate to be called.,
Things you shouldn't title a children's book.,TRUE
Things that you shouldn't do with a computer.,
Things you would like to do with a bald head.,TRUE
Things that make you scream.,
Things that would get you fired.,TRUE
Things that warrant an apology.,TRUE
Things you shouldn't do in the shower.,TRUE
Things you would hate to do for a living.,TRUE
Things you shouldn't leave open.,
Things that very old people shouldn't do.,
Things you shouldn't do if you want to make a good first impression.,
Things big dogs think about when they see a Chihuahua.,
Things that make you feel young.,
Things you shouldn't say to your troops before they go to battle.,
Things you wish you didn't know.,
Things you shouldn't use as an opening line.,TRUE
Things that make people jealous.,
Things you would like to add to the Ten Commandments.,TRUE
Things you love to shop for.,
Things you shouldn't try to do in the dark.,
Things you would do if you were invisible.,
Things you can't believe someone actually did.,
Things that you shouldn't have to pay for.,
Things you wish you had been taught in school.,
Things that make you nervous.,
Things you wish were delivered.,
Things you would like to wake up to.,
Things you shouldn't do in a cemetery.,
Things that are impossible to measure.,
Things you shouldn't do at your wedding.,
Things that are better late than never.,
Things you never see in the city.,
Things that would probably keep you out of heaven.,
Things you would like to try on.,TRUE
Things you would like to make someone do under hypnosis,
Things that don't exist but you wish they did.,
Things you shouldn't do at a job interview.,
Things you shouldn't accept from strangers.,
Things you shouldn't do quickly.,
Things you wish you could buy out of vending machines.,
Things you shouldn't say to break the silence in a conversation.,
Things a chimp thinks about when he sees you at the zoo,
Things that fish think about as they swim in their aquarium.,
Thing paramedics should not say to a patient on the way to the hospital.,
Things you shouldn't mix,
